variable,domain,period,lt,lx,mu
rec_ssh,gf,July-August,11.74,1.717,0.80428
rec_ssh,gf,Octobre-Novembre,11.168,1.655,0.8232
rec_ssh,gf,Year,13.414,1.202,0.83549
rec_ssh,gf,April-May,11.382,1.497,0.86859
rec_ssh,gf,January-February,13.302,1.361,0.86964
rec_ssh,qnatl,July-August,9.964,0.714,0.91005
rec_ssh,eNATL,July-August,9.983,0.714,0.91005
rec_ssh,NATL,July-August,9.946,0.715,0.91005
rec_ssh,qnatl,Octobre-Novembre,9.244,1.432,0.91717
rec_ssh,eNATL,Octobre-Novembre,9.224,1.432,0.91717
rec_ssh,NATL,Octobre-Novembre,9.227,1.432,0.91717
rec_ssh,canaries,July-August,20.169,1.059,0.91737
rec_ssh,NATL,Year,300.349,1.397,0.927
rec_ssh,qnatl,Year,299.467,1.401,0.927
rec_ssh,eNATL,Year,387.335,1.4,0.927
rec_ssh,canaries,Octobre-Novembre,9.177,1.156,0.93802
rec_ssh,NATL,January-February,9.858,0.712,0.94162
rec_ssh,eNATL,January-February,8.412,0.71,0.94162
rec_ssh,qnatl,January-February,9.848,0.711,0.94162
rec_ssh,eNATL,April-May,8.539,0.1,0.94237
rec_ssh,NATL,April-May,8.539,0.1,0.94237
rec_ssh,qnatl,April-May,8.543,0.1,0.94237
rec_ssh,canaries,Year,20.759,0.101,0.94521
rec_ssh,canaries,January-February,20.848,0.937,0.95178
rec_ssh,canaries,April-May,17.162,0.101,0.95453
rec_ssh,osmosis,July-August,17.139,1.148,0.95638
rec_ssh,osmosis,Octobre-Novembre,14.066,1.08,0.96189
rec_ssh,osmosis,Year,14.396,1.037,0.96333
rec_ssh,osmosis,January-February,14.309,1.115,0.96429
rec_ssh,osmosis,April-May,11.583,1.002,0.96739
