variable,domain,period,lt,lx,LON,LAT,mu
rec_ssh,gf,July-August,10.726,1.21,[-65 | -55],[33 | 43],0.89042
rec_ssh,gf,April-May,10.21,1.435,[-65 | -55],[33 | 43],0.89097
rec_ssh,gf,Year,11.247,1.109,[-65 | -55],[33 | 43],0.89896
rec_ssh,gf,January-February,11.701,1.158,[-65 | -55],[33 | 43],0.90162
rec_ssh,gf,Octobre-Novembre,10.035,1.655,[-65 | -55],[33 | 43],0.90484
rec_ssh,canaries,July-August,19.487,1.303,[-29 | -16],[33 | 46],0.94211
rec_ssh,canaries,Octobre-Novembre,6.146,1.222,[-29 | -16],[33 | 46],0.94411
rec_ssh,eNATL,January-February,3.503,0.25,[-99 | 41],[8 | 68],0.95069
rec_ssh,eNATL,Octobre-Novembre,2.818,0.25,[-99 | 41],[8 | 68],0.95147
rec_ssh,eNATL,July-August,2.682,0.25,[-99 | 41],[8 | 68],0.95181
rec_ssh,eNATL,Year,2.711,0.25,[-99 | 41],[8 | 68],0.95199
rec_ssh,canaries,Year,25.314,0.252,[-29 | -16],[33 | 46],0.95286
rec_ssh,eNATL,April-May,2.523,0.25,[-99 | 41],[8 | 68],0.95342
rec_ssh,NATL,July-August,5.503,0.25,[-76 | 4],[28.0 | 63.0],0.95374
rec_ssh,qnatl,July-August,5.489,0.25,[-76.0 | -1.0],[28.0 | 63.0],0.95382
rec_ssh,NATL,Year,21.459,0.25,[-76 | 4],[28.0 | 63.0],0.95552
rec_ssh,NATL,Octobre-Novembre,2.759,0.25,[-76 | 4],[28.0 | 63.0],0.95553
rec_ssh,qnatl,Year,2.798,0.25,[-76.0 | -1.0],[28.0 | 63.0],0.95596
rec_ssh,NATL,January-February,3.532,0.25,[-76 | 4],[28.0 | 63.0],0.95625
rec_ssh,qnatl,Octobre-Novembre,8.224,0.25,[-76.0 | -1.0],[28.0 | 63.0],0.95646
rec_ssh,NATL,April-May,2.512,0.25,[-76 | 4],[28.0 | 63.0],0.95662
rec_ssh,qnatl,April-May,2.923,0.25,[-76.0 | -1.0],[28.0 | 63.0],0.95664
rec_ssh,canaries,January-February,12.833,1.272,[-29 | -16],[33 | 46],0.95691
rec_ssh,qnatl,January-February,3.551,0.25,[-76.0 | -1.0],[28.0 | 63.0],0.95699
rec_ssh,canaries,April-May,10.98,1.171,[-29 | -16],[33 | 46],0.95768
rec_ssh,osmosis,July-August,14.947,1.19,[-21.5 | -11.5],[45 | 55],0.96149
rec_ssh,osmosis,Octobre-Novembre,18.904,1.18,[-21.5 | -11.5],[45 | 55],0.96175
rec_ssh,osmosis,Year,21.214,1.243,[-21.5 | -11.5],[45 | 55],0.96494
rec_ssh,osmosis,January-February,15.763,1.493,[-21.5 | -11.5],[45 | 55],0.96584
rec_ssh,osmosis,April-May,8.18,1.112,[-21.5 | -11.5],[45 | 55],0.96716
